accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_age_days,days_since_last_review,avg_review_score,season,distance_to_center_km,accommodates_bedrooms,min_nights_reviews,Has_Wifi,Has_Kitchen,Has_Heating,Has_TV,Has_Essentials,Has_Hair_Dryer,Has_Iron,Has_Free_Parking,Has_Hangers,Has_Laptop_Friendly_Workspace,host_has_profile_pic_binary,host_identity_verified_binary,host_is_superhost,instant_bookable,room_Private room,room_Shared room,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,price
4,1.0,0.0,2.0,2,180,360,4.85,5696,0.0,4.872857142857144,2.0,4.050097835680454,0.0,720,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,136.0
2,1.0,1.0,1.0,90,1125,118,4.54,5625,2002.0,4.525714285714286,0.0,2.615183675477271,2.0,10620,0,0,0,0,0,0,0,0,0,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,46.0
2,1.0,1.0,1.0,1,40,605,4.98,5621,0.0,4.971428571428572,2.0,3.7190645322627,2.0,605,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,187.0
2,1.0,1.0,1.0,90,360,131,4.56,5626,754.0,4.612857142857143,2.0,0.6811445768450297,2.0,11790,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,75.0
3,1.0,2.0,2.0,90,365,80,4.8,5608,297.0,4.8,2.0,3.8452626330446336,6.0,7200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.0
1,1.0,1.0,1.0,90,125,416,4.73,5586,267.0,4.757142857142857,3.0,7.352261547646107,1.0,37440,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,75.0
2,1.0,1.0,1.0,90,125,237,4.75,5586,285.0,4.742857142857143,3.0,7.273851410155811,2.0,21330,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,122.0
6,1.0,2.0,3.0,90,365,17,5.0,4992,597.0,4.872857142857143,3.0,4.335876393551917,12.0,1530,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,220.0
2,1.0,1.0,2.0,90,360,49,4.76,5532,209.0,4.798571428571429,3.0,0.30134130385934854,2.0,4410,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,222.0
3,1.0,1.0,2.0,7,1125,166,4.98,5475,6.0,4.9628571428571435,2.0,4.158484709665743,3.0,1162,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,165.0
4,2.0,2.0,2.0,90,365,78,4.7,4785,900.0,4.718571428571429,0.0,0.6038639189213764,8.0,7020,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,217.0
2,1.0,1.0,1.0,2,1125,637,4.78,5463,15.0,4.838571428571428,2.0,3.8547349574679823,2.0,1274,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,145.0
3,1.0,1.0,2.0,90,365,35,4.77,5532,275.0,4.792857142857143,3.0,0.3256676620946127,3.0,3150,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,169.0
4,1.0,1.0,2.0,90,730,29,4.79,5232,65.0,4.867142857142857,1.0,0.7835784736099645,4.0,2610,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120.0
2,1.0,1.0,1.0,90,120,275,4.88,5165,240.0,4.88,3.0,0.4594970704870378,2.0,24750,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,245.0
2,1.0,1.0,2.0,5,100,194,4.87,5628,23.0,4.882857142857143,2.0,2.524285927111804,2.0,970,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,143.0
3,1.0,2.0,2.0,90,90,1,5.0,4985,3946.0,4.857142857142857,3.0,4.65375513914488,6.0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100.0
2,1.0,1.0,1.0,3,180,111,4.91,5375,15.0,4.885714285714286,2.0,1.259632864141294,2.0,333,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,301.0
7,1.0,2.0,4.0,90,400,24,5.0,4992,756.0,4.918571428571428,1.0,4.287007313788167,14.0,2160,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,149.0
2,1.0,1.0,1.0,90,1124,157,4.89,4884,55.0,4.880000000000001,1.0,0.7865400510129682,2.0,14130,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,182.0
2,1.0,2.0,1.0,90,1125,46,4.86,5008,1017.0,4.822857142857144,3.0,0.7291893230722333,4.0,4140,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,257.0
1,1.0,1.0,1.0,90,125,265,4.75,5586,251.0,4.788571428571429,3.0,7.277366218456248,1.0,23850,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,70.0
4,1.0,2.0,4.0,3,1125,194,4.85,4800,8.0,4.801428571428572,2.0,1.1747391372198603,8.0,582,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,269.0
2,1.0,1.0,1.0,90,1125,56,4.69,5008,304.0,4.675714285714286,2.0,8.919857037642677,2.0,5040,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,171.0
2,1.0,1.0,1.0,2,1125,47,4.47,5008,295.0,4.472857142857142,3.0,8.810475623750195,2.0,94,0,0,0,0,0,0,0,0,0,0,1,1,1,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,171.0
4,1.0,2.0,2.0,2,30,37,4.68,4797,99.0,4.76,1.0,4.7861694223238676,8.0,74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,223.0
2,1.5,1.0,1.0,3,1125,245,4.86,4776,14.0,4.842857142857142,2.0,1.0907142511383359,2.0,735,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,395.0
3,1.0,1.0,3.0,91,365,170,4.91,4764,23.0,4.898571428571429,2.0,0.29615305559474053,3.0,15470,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,118.0
8,2.0,4.0,4.0,4,180,43,4.76,4763,198.0,4.772857142857142,0.0,4.8616809705433,32.0,172,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,550.0
4,1.0,1.0,1.0,30,1125,6,5.0,4758,39.0,4.761428571428572,1.0,0.6098665294540984,4.0,180,0,0,0,0,0,0,0,0,0,0,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,178.0
