accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_age_days,days_since_last_review,avg_review_score,accommodates_bedrooms,min_nights_reviews,season,distance_to_center_km,host_is_superhost,instant_bookable,host_has_profile_pic_binary,host_identity_verified_binary,Has_Wifi,Has_Kitchen,Has_Heating,Has_TV,Has_Essentials,Has_Hair_Dryer,Has_Iron,Has_Free_Parking,Has_Hangers,Has_Laptop_Friendly_Workspace,price
4,1.0,0.0,2.0,2,180,360,4.85,5696,0.0,4.872857142857144,0.0,720,2.0,4.050097835680613,t,f,1,1,0,0,0,0,0,0,0,0,0,0,136.0
2,1.0,1.0,1.0,90,1125,118,4.54,5625,2002.0,4.525714285714286,2.0,10620,0.0,2.6151836754781344,f,f,1,1,0,0,0,0,0,0,0,0,0,0,46.0
2,1.0,1.0,1.0,1,40,605,4.98,5621,0.0,4.971428571428572,2.0,605,2.0,3.719064532264184,t,f,1,1,0,0,0,0,0,0,0,0,0,0,187.0
2,1.0,1.0,1.0,90,360,131,4.56,5626,754.0,4.612857142857143,2.0,11790,2.0,0.6811445768443865,t,f,1,1,0,0,0,0,0,0,0,0,0,0,75.0
3,1.0,2.0,2.0,90,365,80,4.8,5608,297.0,4.8,6.0,7200,2.0,3.8452626330459245,f,f,1,1,0,0,0,0,0,0,0,0,0,0,90.0
1,1.0,1.0,1.0,90,125,416,4.73,5586,267.0,4.757142857142857,1.0,37440,3.0,7.352261547646316,t,f,1,1,0,0,0,0,0,0,0,0,0,0,75.0
2,1.0,1.0,1.0,90,125,237,4.75,5586,285.0,4.742857142857143,2.0,21330,3.0,7.273851410156287,t,f,1,1,0,0,0,0,0,0,0,0,0,0,122.0
6,1.0,2.0,3.0,90,365,17,5.0,4992,597.0,4.872857142857143,12.0,1530,3.0,4.335876393551338,f,f,1,1,0,0,0,0,0,0,0,0,0,0,220.0
2,1.0,1.0,2.0,90,360,49,4.76,5532,209.0,4.798571428571429,2.0,4410,3.0,0.3013413038597307,f,f,1,1,0,0,0,0,0,0,0,0,0,0,222.0
3,1.0,1.0,2.0,7,1125,166,4.98,5475,6.0,4.9628571428571435,3.0,1162,2.0,4.158484709666103,t,f,1,1,0,0,0,0,0,0,0,0,0,0,165.0
4,2.0,2.0,2.0,90,365,78,4.7,4785,900.0,4.718571428571429,8.0,7020,0.0,0.6038639189220338,t,f,1,1,0,0,0,0,0,0,0,0,0,0,217.0
2,1.0,1.0,1.0,2,1125,637,4.78,5463,15.0,4.838571428571428,2.0,1274,2.0,3.8547349574681746,t,f,1,1,0,0,0,0,0,0,0,0,0,0,145.0
3,1.0,1.0,2.0,90,365,35,4.77,5532,275.0,4.792857142857143,3.0,3150,3.0,0.3256676620947073,f,f,1,1,0,0,0,0,0,0,0,0,0,0,169.0
4,1.0,1.0,2.0,90,730,29,4.79,5232,65.0,4.867142857142857,4.0,2610,1.0,0.7835784736102321,t,f,1,1,0,0,0,0,0,0,0,0,0,0,120.0
2,1.0,1.0,1.0,90,120,275,4.88,5165,240.0,4.88,2.0,24750,3.0,0.45949707048660704,t,f,1,1,0,0,0,0,0,0,0,0,0,0,245.0
2,1.0,1.0,2.0,5,100,194,4.87,5628,23.0,4.882857142857143,2.0,970,2.0,2.5242859271122216,t,f,1,1,0,0,0,0,0,0,0,0,0,0,143.0
3,1.0,2.0,2.0,90,90,1,5.0,4985,3946.0,4.857142857142857,6.0,90,3.0,4.65375513914535,f,f,1,1,0,0,0,0,0,0,0,0,0,0,100.0
2,1.0,1.0,1.0,3,180,111,4.91,5375,15.0,4.885714285714286,2.0,333,2.0,1.259632864141119,t,f,1,1,0,0,0,0,0,0,0,0,0,0,301.0
7,1.0,2.0,4.0,90,400,24,5.0,4992,756.0,4.918571428571428,14.0,2160,1.0,4.287007313787883,f,f,1,1,0,0,0,0,0,0,0,0,0,0,149.0
2,1.0,1.0,1.0,90,1124,157,4.89,4884,55.0,4.880000000000001,2.0,14130,1.0,0.7865400510131929,t,f,1,1,0,0,0,0,0,0,0,0,0,0,182.0
2,1.0,2.0,1.0,90,1125,46,4.86,5008,1017.0,4.822857142857144,4.0,4140,3.0,0.7291893230728459,t,f,1,1,0,0,0,0,0,0,0,0,0,0,257.0
1,1.0,1.0,1.0,90,125,265,4.75,5586,251.0,4.788571428571429,1.0,23850,3.0,7.277366218456624,t,f,1,1,0,0,0,0,0,0,0,0,0,0,70.0
4,1.0,2.0,4.0,3,1125,194,4.85,4800,8.0,4.801428571428572,8.0,582,2.0,1.174739137220468,t,f,1,1,0,0,0,0,0,0,0,0,0,0,269.0
2,1.0,1.0,1.0,90,1125,56,4.69,5008,304.0,4.675714285714286,2.0,5040,2.0,8.91985703764339,t,f,1,1,0,0,0,0,0,0,0,0,0,0,171.0
2,1.0,1.0,1.0,2,1125,47,4.47,5008,295.0,4.472857142857142,2.0,94,3.0,8.810475623750872,t,f,1,1,0,0,0,0,0,0,0,0,0,0,171.0
4,1.0,2.0,2.0,2,30,37,4.68,4797,99.0,4.76,8.0,74,1.0,4.786169422324193,f,f,1,1,0,0,0,0,0,0,0,0,0,0,223.0
2,1.5,1.0,1.0,3,1125,245,4.86,4776,14.0,4.842857142857142,2.0,735,2.0,1.0907142511382875,t,f,1,1,0,0,0,0,0,0,0,0,0,0,395.0
3,1.0,1.0,3.0,91,365,170,4.91,4764,23.0,4.898571428571429,3.0,15470,2.0,0.2961530555955617,t,f,1,1,0,0,0,0,0,0,0,0,0,0,118.0
8,2.0,4.0,4.0,4,180,43,4.76,4763,198.0,4.772857142857142,32.0,172,0.0,4.861680970544651,t,f,1,1,0,0,0,0,0,0,0,0,0,0,550.0
4,1.0,1.0,1.0,30,1125,6,5.0,4758,39.0,4.761428571428572,4.0,180,1.0,0.6098665294540095,t,f,1,1,0,0,0,0,0,0,0,0,0,0,178.0
6,1.0,3.0,3.0,1,45,123,4.93,4741,28.0,4.8914285714285715,18.0,123,1.0,4.9760508984086895,t,f,1,0,0,0,0,0,0,0,0,0,0,0,500.0
2,1.0,1.0,1.0,90,1125,193,4.89,5163,967.0,4.897142857142858,2.0,17370,3.0,4.242813382348602,f,f,1,1,0,0,0,0,0,0,0,0,0,0,80.0
6,2.0,3.0,3.0,2,365,70,4.93,4699,190.0,4.898571428571429,18.0,140,0.0,1.0037932330588661,f,f,1,1,0,0,0,0,0,0,0,0,0,0,831.0
2,1.0,1.0,2.0,2,7,228,4.78,4697,10.0,4.822857142857143,2.0,456,2.0,4.707737700830892,t,f,1,1,0,0,0,0,0,0,0,0,0,0,328.0
4,2.0,2.0,3.0,90,1125,77,4.75,4726,145.0,4.795714285714285,8.0,6930,0.0,1.8303829231271764,f,f,1,1,0,0,0,0,0,0,0,0,0,0,148.0
1,1.0,1.0,1.0,90,190,22,4.73,4763,772.0,4.804285714285713,1.0,1980,1.0,5.0354106665885645,t,f,1,1,0,0,0,0,0,0,0,0,0,0,55.0
2,1.0,1.0,1.0,90,120,184,4.81,4683,166.0,4.811428571428571,2.0,16560,0.0,0.9391422361348071,t,f,1,1,0,0,0,0,0,0,0,0,0,0,117.0
2,1.0,1.0,1.0,91,120,99,4.78,4640,296.0,4.827142857142857,2.0,9009,3.0,1.1400858653365198,f,f,1,1,0,0,0,0,0,0,0,0,0,0,135.0
2,1.0,1.0,2.0,90,365,14,4.93,4627,24.0,4.9799999999999995,2.0,1260,1.0,5.096423428464695,f,f,1,1,0,0,0,0,0,0,0,0,0,0,153.0
2,1.0,0.0,1.0,30,1125,13,5.0,4758,89.0,4.822857142857144,0.0,390,1.0,0.4993250089121284,t,f,1,1,0,0,0,0,0,0,0,0,0,0,219.0
6,2.0,2.0,3.0,30,1125,13,4.77,4758,50.0,4.715714285714285,12.0,390,1.0,0.4993250089121284,t,f,1,1,0,0,0,0,0,0,0,0,0,0,224.0
2,1.0,1.0,1.0,90,1125,26,4.64,4582,53.0,4.771428571428571,2.0,2340,1.0,2.7422973449248293,t,f,1,1,0,0,0,0,0,0,0,0,0,0,116.0
5,1.5,2.0,2.0,5,30,36,4.75,4536,318.0,4.775714285714286,10.0,180,2.0,3.3614956802924585,f,f,1,1,0,0,0,0,0,0,0,0,0,0,375.0
1,1.0,1.0,1.0,2,365,2,5.0,4533,29.0,5.0,1.0,4,1.0,4.010253757484743,f,f,1,1,0,0,0,0,0,0,0,0,0,0,178.0
2,1.0,1.0,1.0,3,60,316,4.92,4530,7.0,4.920000000000001,2.0,948,2.0,6.061827437065955,t,f,1,1,0,0,0,0,0,0,0,0,0,0,150.0
2,1.0,,2.0,90,1125,10,4.2,5008,4285.0,4.297142857142857,,900,3.0,0.7063697406587969,t,f,1,1,0,0,0,0,0,0,0,0,0,0,455.0
2,1.0,1.0,1.0,1,125,189,4.87,4773,5.0,4.888571428571429,2.0,189,2.0,4.316915407253373,t,f,1,1,0,0,0,0,0,0,0,0,0,0,113.0
8,2.0,4.0,6.0,5,60,52,4.86,4487,92.0,4.845714285714286,32.0,260,1.0,3.7028674942994395,f,t,1,1,0,0,0,0,0,0,0,0,0,0,780.0
2,1.0,1.0,1.0,90,360,61,4.55,5626,907.0,4.595714285714286,2.0,5490,0.0,0.6906753445260222,t,f,1,1,0,0,0,0,0,0,0,0,0,0,75.0
4,1.0,2.0,2.0,3,1125,385,4.73,4429,31.0,4.795714285714285,8.0,1155,1.0,2.392790184409543,t,f,1,1,0,0,0,0,0,0,0,0,0,0,189.0
2,1.0,1.0,1.0,3,10,93,4.91,4423,190.0,4.921428571428572,2.0,279,0.0,5.452809443515759,t,f,1,1,0,0,0,0,0,0,0,0,0,0,150.0
4,2.0,2.0,2.0,5,1125,130,4.86,4402,295.0,4.87,8.0,650,3.0,5.186061981981069,f,f,1,1,0,0,0,0,0,0,0,0,0,0,199.0
5,1.5,3.0,3.0,7,26,16,4.75,5136,800.0,4.867142857142857,15.0,112,1.0,4.403493958805129,t,f,1,1,0,0,0,0,0,0,0,0,0,0,439.0
4,1.0,2.0,2.0,3,60,266,4.87,4394,18.0,4.890000000000001,8.0,798,2.0,4.116685601723618,t,f,1,1,0,0,0,0,0,0,0,0,0,0,222.0
6,2.5,3.0,3.0,90,1125,18,4.94,4866,295.0,4.948571428571428,18.0,1620,3.0,4.208327035875233,f,f,1,1,0,0,0,0,0,0,0,0,0,0,417.0
4,1.0,1.0,1.0,90,365,3,5.0,5008,2193.0,5.0,4.0,270,2.0,0.4003348565331873,t,f,1,1,0,0,0,0,0,0,0,0,0,0,389.0
4,1.0,1.0,2.0,1,30,678,4.88,5999,23.0,4.915714285714286,4.0,678,2.0,0.25559851543678463,t,f,1,1,0,0,0,0,0,0,0,0,0,0,321.0
4,1.0,0.0,3.0,1,89,215,4.87,4369,9.0,4.890000000000001,0.0,215,2.0,4.097051356424327,f,f,1,1,0,0,0,0,0,0,0,0,0,0,150.0
2,1.0,1.0,1.0,90,360,73,4.49,5626,25.0,4.651428571428572,2.0,6570,1.0,0.7243574509986025,t,f,1,1,0,0,0,0,0,0,0,0,0,0,75.0
2,1.0,1.0,1.0,3,150,216,4.9,4355,19.0,4.888571428571429,2.0,648,2.0,0.8083898712412921,,f,1,1,0,0,0,0,0,0,0,0,0,0,297.0
4,1.5,3.0,3.0,7,180,6,5.0,4976,16.0,4.881428571428572,12.0,42,2.0,4.168734473565791,f,f,1,0,0,0,0,0,0,0,0,0,0,0,153.0
2,1.0,1.0,1.0,4,1125,415,4.76,5695,20.0,4.837142857142857,2.0,1660,2.0,4.348819780293229,t,f,1,1,0,0,0,0,0,0,0,0,0,0,100.0
4,2.0,2.0,3.0,90,730,124,4.97,4300,1933.0,4.954285714285715,8.0,11160,1.0,0.665539217752416,f,f,1,1,0,0,0,0,0,0,0,0,0,0,175.0
4,1.0,2.0,2.0,3,14,379,4.67,4296,20.0,4.775714285714286,8.0,1137,2.0,3.8861005790549568,t,f,1,1,0,0,0,0,0,0,0,0,0,0,99.0
2,1.5,1.0,1.0,90,1125,7,5.0,4288,481.0,4.938571428571429,2.0,630,0.0,0.7960259187196708,f,f,1,0,0,0,0,0,0,0,0,0,0,0,342.0
2,1.0,1.0,3.0,1,90,15,5.0,3382,12.0,4.884285714285714,2.0,15,2.0,0.9284511466597651,t,f,1,1,0,0,0,0,0,0,0,0,0,0,309.0
4,1.0,2.0,2.0,2,60,398,4.92,4275,21.0,4.934285714285714,8.0,796,2.0,4.199094476354733,t,f,1,1,0,0,0,0,0,0,0,0,0,0,302.0
5,1.0,1.0,4.0,1,1125,198,4.84,4270,16.0,4.811428571428571,5.0,198,2.0,1.1731094518132485,t,t,1,1,0,0,0,0,0,0,0,0,0,0,210.0
2,1.0,1.0,1.0,2,1125,284,4.9,4248,39.0,4.914285714285714,2.0,568,1.0,2.5375789037254717,t,f,1,1,0,0,0,0,0,0,0,0,0,0,180.0
4,1.0,2.0,2.0,3,107,53,4.81,5040,37.0,4.784285714285715,8.0,159,1.0,2.3679760886634935,t,f,1,1,0,0,0,0,0,0,0,0,0,0,198.0
4,1.0,2.0,4.0,2,150,381,4.64,4213,6.0,4.762857142857143,8.0,762,2.0,3.863230363041307,t,f,1,1,0,0,0,0,0,0,0,0,0,0,110.0
8,3.0,4.0,4.0,5,1125,45,4.91,4259,198.0,4.912857142857143,32.0,225,0.0,3.7013773123186753,f,f,1,1,0,0,0,0,0,0,0,0,0,0,926.0
4,1.0,2.0,2.0,90,150,258,4.96,4869,475.0,4.958571428571429,8.0,23220,1.0,2.091704884729586,f,f,1,1,0,0,0,0,0,0,0,0,0,0,125.0
3,1.0,1.0,2.0,90,365,141,4.9,4248,252.0,4.885714285714286,3.0,12690,3.0,0.41917680250379313,t,f,1,1,0,0,0,0,0,0,0,0,0,0,118.0
